PassengerId,PassengerId_invalid_flag,Survived_invalid_flag,Pclass,Pclass_invalid_flag,Age,Age_invalid_flag,SibSp,SibSp_invalid_flag,Parch,Parch_invalid_flag,Fare,Fare_invalid_flag,Name,Sex,Ticket,Cabin,Embarked,Survived
892.0,0,0,3.0,0,34.5,0,0.0,0,0.0,0,7.8292,0,398,0,-2,-2,2,0
893.0,0,0,3.0,0,47.0,0,1.0,0,0.0,0,7.0,0,-2,1,-2,-2,0,0
894.0,0,0,2.0,0,62.0,0,0.0,0,0.0,0,9.6875,0,-2,0,-2,-2,2,0
895.0,0,0,3.0,0,27.0,0,0.0,0,0.0,0,8.6625,0,-2,0,-2,-2,0,0
896.0,0,0,3.0,0,22.0,0,1.0,0,1.0,0,12.2875,0,-2,1,-2,-2,0,0
897.0,0,0,3.0,0,14.0,0,0.0,0,0.0,0,9.225,0,-2,0,-2,-2,0,0
898.0,0,0,3.0,0,30.0,0,0.0,0,0.0,0,7.6292,0,372,1,-2,-2,2,0
899.0,0,0,2.0,0,26.0,0,1.0,0,1.0,0,29.0,0,-2,0,116,-2,0,0
900.0,0,0,3.0,0,18.0,0,0.0,0,0.0,0,7.2292,0,-2,1,-2,-2,1,0
901.0,0,0,3.0,0,21.0,0,2.0,0,0.0,0,24.15,0,-2,0,90,-2,0,0
902.0,0,0,3.0,0,28.0,1,0.0,0,0.0,0,7.8958,0,-2,0,-2,-2,0,0
903.0,0,0,1.0,0,46.0,0,0.0,0,0.0,0,26.0,0,-2,0,-2,-2,0,0
904.0,0,0,1.0,0,23.0,0,1.0,0,0.0,0,82.2667,0,-2,1,-2,-2,0,1
905.0,0,0,2.0,0,63.0,0,1.0,0,0.0,0,26.0,0,-2,0,-2,-2,0,0
906.0,0,0,1.0,0,47.0,0,1.0,0,0.0,0,61.175,0,-2,1,317,66,0,1
907.0,0,0,2.0,0,24.0,0,1.0,0,0.0,0,27.7208,0,-2,1,-2,-2,1,1
908.0,0,0,2.0,0,35.0,0,0.0,0,0.0,0,12.35,0,-2,0,-2,-2,2,0
909.0,0,0,3.0,0,21.0,0,0.0,0,0.0,0,7.225,0,-2,0,-2,-2,1,0
910.0,0,0,3.0,0,27.0,0,1.0,0,0.0,0,7.925,0,-2,1,-2,-2,0,0
911.0,0,0,3.0,0,45.0,0,0.0,0,0.0,0,7.225,0,-2,1,-2,-2,1,0
912.0,0,0,1.0,0,55.0,0,1.0,0,0.0,0,59.4,0,-2,0,397,-2,1,0
913.0,0,0,3.0,0,9.0,0,0.0,0,1.0,0,3.1708,0,-2,0,-2,-2,0,0
914.0,0,0,1.0,0,28.0,1,0.0,0,0.0,0,31.6833,0,-2,1,-2,-2,0,1
915.0,0,0,1.0,0,21.0,0,0.0,0,1.0,0,61.3792,0,-2,0,-2,-2,1,0
916.0,0,0,1.0,0,48.0,0,1.0,0,3.0,0,262.375,0,-2,1,396,88,1,1
917.0,0,0,3.0,0,50.0,0,1.0,0,0.0,0,14.5,0,-2,0,-2,-2,0,0
918.0,0,0,1.0,0,22.0,0,0.0,0,1.0,0,61.9792,0,-2,1,278,-2,1,1
919.0,0,0,3.0,0,22.5,0,0.0,0,0.0,0,7.225,0,-2,0,-2,-2,1,0
920.0,0,0,1.0,0,41.0,0,0.0,0,0.0,0,30.5,0,-2,0,-2,-2,0,0
921.0,0,0,3.0,0,28.0,1,2.0,0,0.0,0,21.6792,0,-2,0,8,-2,1,0
922.0,0,0,2.0,0,50.0,0,1.0,0,0.0,0,26.0,0,-2,0,483,-2,0,0
923.0,0,0,2.0,0,24.0,0,2.0,0,0.0,0,31.5,0,-2,0,-2,-2,0,0
924.0,0,0,3.0,0,33.0,0,1.0,0,2.0,0,20.575,0,-2,1,375,-2,0,0
925.0,0,0,3.0,0,28.0,1,1.0,0,2.0,0,23.45,0,-2,1,-2,-2,0,0
926.0,0,0,1.0,0,30.0,0,1.0,0,0.0,0,57.75,0,-2,0,-2,67,1,1
927.0,0,0,3.0,0,18.5,0,0.0,0,0.0,0,7.2292,0,-2,0,-2,-2,1,0
928.0,0,0,3.0,0,28.0,1,0.0,0,0.0,0,8.05,0,-2,1,-2,-2,0,0
929.0,0,0,3.0,0,21.0,0,0.0,0,0.0,0,8.6625,0,-2,1,-2,-2,0,0
930.0,0,0,3.0,0,25.0,0,0.0,0,0.0,0,9.5,0,-2,0,-2,-2,0,0
931.0,0,0,3.0,0,28.0,1,0.0,0,0.0,0,56.4958,0,-2,0,132,-2,0,0
932.0,0,0,3.0,0,39.0,0,0.0,0,1.0,0,13.4167,0,-2,0,-2,-2,1,0
933.0,0,0,1.0,0,28.0,1,0.0,0,0.0,0,26.55,0,-2,0,-2,-2,0,0
934.0,0,0,3.0,0,41.0,0,0.0,0,0.0,0,7.85,0,-2,0,-2,-2,0,0
935.0,0,0,2.0,0,30.0,0,0.0,0,0.0,0,13.0,0,-2,1,-2,-2,0,1
936.0,0,0,1.0,0,45.0,0,1.0,0,0.0,0,52.5542,0,-2,1,156,31,0,1
937.0,0,0,3.0,0,25.0,0,0.0,0,0.0,0,7.925,0,-2,0,-2,-2,0,0
938.0,0,0,1.0,0,45.0,0,0.0,0,0.0,0,29.7,0,-2,0,-2,-2,1,0
939.0,0,0,3.0,0,28.0,1,0.0,0,0.0,0,7.75,0,-2,0,-2,-2,2,0
940.0,0,0,1.0,0,60.0,0,0.0,0,0.0,0,76.2917,0,-2,1,-2,-2,1,1
941.0,0,0,3.0,0,36.0,0,0.0,0,2.0,0,15.9,0,-2,1,203,-2,0,0
942.0,0,0,1.0,0,24.0,0,1.0,0,0.0,0,60.0,0,-2,0,-2,-2,0,0
943.0,0,0,2.0,0,27.0,0,0.0,0,0.0,0,15.0333,0,-2,0,-2,-2,1,0
